397,something of a ～,ちょっとした～ かなりの～
398,at a loss,途方に暮れて
399,under repair,修理中で
400,in the future,将来（に） 今後
401,scores of ～,多数の～
402,make sense of ～,～を理解する
403,insist that ...,...だと言い張る
404,have 〔take〕 a look at ～,～を見る
405,come by ～,立ち寄る （偶然）手に入れる 通りすぎる
406,feel obliged to do,...せざるを得ないと感じる
407,a sheet of ～,1枚の～
408,yield to ～,～に屈服する ～に敗れる
409,on purpose,故意に
410,catch on （to ～),～（意味など）をつかむ 広まる
411,in favor of ～,～に賛成して ～の利益となるように
412,fall back on 〔upon〕 ～,（困ったときに）～に頼る
413,get the better of ～,～に打ち勝つ
414,give in (to ～),（～に）屈する ～に従う
415,make up one's mind (to do),（...する）決心をする
416,on one's own,1人で 独力で
417,～ where ...,...する（ところの）～
418,even if 〔though〕 ...,たとえ...であっても
419,have＋O＋原形,Ｏに...してもらう〔させる〕
420,either A or B,AかBのどちらか AまたはB
421,go into effect,（法律などが）発効する 実施される
422,come of age,成人に達する 大人になる
423,be free to do,自由に...する 好きなように...できる
424,for the time being,差し当たり しばらくの間
425,agree with ～,～（人・意見）に賛成する
426,bar A from B,AにBを禁止する AをBから締め出す
427,approve of ～,～をよいと認める ～に賛成する
428,on 〔in〕 one's behalf,～に代わって ～のために
429,at heart,心の底では 根は
430,get involved in 〔with〕 ～,～に巻き込まれる ～に関わる
431,on the part of ～ 〔on one's part〕,～の方〔側〕では
432,give way (to ～),（～に）降参〔屈服〕する （～に）道を譲る
433,be to do,...することになっている
434,to be frank (with ～),（～に）率直に言って
435,there is no ...ing,...することができない
436,on ...ing,...するとすぐに
437,get O to do,Ｏに...してもらう〔させる〕
438,to say the least (of it),控えめに言っても
439,as a whole,全体として
440,stand out,目立つ 際立つ
441,what is more,そのうえ さらに
442,to say nothing of ～,～は言うまでもない
443,dwell on 〔upon〕 ～,～のことをくよくよ考える 話す
444,speak out,思い切って意見を述べる
445,all at once,突然
446,have ～ in mind,～のことを思って〔意図して〕いる
447,be satisfied with ～,～に満足している
448,at any rate,とにかく いずれにせよ
449,it occurs (to 人) that ...,（人に）...が思い浮かぶ
450,roughly speaking,大ざっぱに言って
451,speaking 〔talking〕 of ～,～と言えば
